iter	Passed	Remaining
0	4	404
1	7	386
2	14	479
3	17	422
4	19	365
5	22	355
6	24	322
7	26	301
8	28	288
9	29	268
10	30	249
11	31	234
12	40	270
13	42	262
14	46	265
15	58	305
16	60	295
17	61	280
18	62	267
19	69	278
20	72	272
21	74	265
22	76	257
23	77	246
24	79	237
25	87	247
26	88	240
27	91	235
28	92	226
29	93	218
30	97	217
31	101	215
32	103	210
33	105	204
34	106	198
35	108	192
36	118	201
37	121	197
38	122	191
39	123	185
40	124	179
41	130	180
42	132	175
43	134	170
44	136	167
45	138	162
46	139	157
47	153	166
48	155	161
49	156	156
50	161	155
51	163	150
52	165	146
53	168	143
54	168	138
55	169	133
56	170	128
57	178	129
58	180	125
59	182	121
60	185	118
61	186	114
62	187	109
63	192	108
64	194	104
65	196	101
66	198	97
67	199	93
68	200	90
69	202	86
70	209	85
71	211	82
72	213	79
73	215	75
74	216	72
75	224	71
76	226	67
77	228	64
78	230	61
79	231	57
80	232	54
81	238	52
82	240	49
83	242	46
84	245	43
85	246	40
86	247	36
87	255	34
88	257	31
89	259	28
90	260	25
91	262	22
92	263	19
93	269	17
94	272	14
95	275	11
96	276	8
97	277	5
98	286	2
99	288	0
