iter	Passed	Remaining
0	181	181593
1	190	94900
2	195	64994
3	203	50634
4	206	41151
5	209	34784
6	219	31153
7	223	27665
8	229	25279
9	233	23116
10	236	21248
11	239	19753
12	246	18729
13	248	17523
14	250	16476
15	257	15844
16	261	15117
17	262	14342
18	264	13669
19	268	13170
20	274	12780
21	275	12255
22	277	11768
23	278	11337
24	279	10911
25	285	10708
26	286	10337
27	288	10016
28	289	9696
29	291	9425
30	293	9170
31	295	8930
32	301	8825
33	303	8631
34	305	8424
35	306	8218
36	308	8029
37	310	7857
38	311	7679
39	312	7503
40	314	7356
41	316	7216
42	318	7084
43	320	6955
44	321	6815
45	325	6752
46	328	6657
47	329	6544
48	331	6440
49	333	6340
50	341	6348
51	343	6255
52	345	6170
53	347	6088
54	349	6004
55	357	6020
56	359	5947
57	361	5869
58	363	5800
59	369	5790
60	371	5711
61	373	5647
62	374	5575
63	376	5500
64	377	5430
65	378	5360
66	380	5295
67	381	5227
68	382	5160
69	383	5095
70	384	5031
71	385	4969
72	387	4918
73	401	5019
74	405	4999
75	412	5016
76	419	5028
77	421	4985
78	424	4943
79	431	4961
80	433	4919
81	435	4876
82	436	4824
83	441	4814
84	444	4780
85	446	4742
86	449	4713
87	455	4721
88	457	4684
89	459	4647
90	461	4612
91	464	4580
92	469	4574
93	474	4568
94	475	4528
95	477	4494
96	478	4453
97	480	4422
98	485	4420
99	487	4387
100	489	4359
101	492	4336
102	496	4322
103	504	4343
104	506	4318
105	508	4292
106	511	4268
107	518	4284
108	521	4258
109	523	4236
110	525	4210
111	527	4185
112	533	4187
113	535	4161
114	537	4136
115	539	4112
116	544	4112
117	546	4086
118	551	4079
119	553	4057
120	555	4035
121	564	4063
122	567	4044
123	569	4021
124	574	4024
125	578	4009
126	579	3986
127	582	3965
128	585	3950
129	594	3975
130	596	3956
131	598	3935
132	601	3918
133	613	3967
134	617	3955
135	626	3977
136	627	3954
137	629	3934
138	632	3915
139	639	3926
140	640	3904
141	642	3880
142	644	3863
143	646	3844
144	648	3825
145	654	3827
146	657	3815
147	659	3797
148	667	3814
149	669	3796
150	672	3778
151	683	3813
152	686	3799
153	688	3781
154	690	3764
155	696	3767
156	698	3748
157	700	3731
158	701	3711
159	703	3693
160	704	3673
161	709	3669
162	714	3668
163	716	3652
164	718	3636
165	721	3624
166	728	3631
167	731	3620
168	732	3604
169	736	3594
170	747	3625
171	750	3613
172	751	3593
173	757	3596
174	758	3577
175	760	3558
176	761	3540
177	762	3521
178	763	3502
179	765	3485
180	766	3468
181	768	3451
182	773	3452
183	774	3434
184	776	3421
185	778	3407
186	783	3407
187	785	3393
188	787	3380
189	789	3365
190	791	3350
191	793	3337
192	797	3336
193	802	3335
194	804	3322
195	807	3311
196	810	3301
197	812	3291
198	814	3279
199	816	3264
200	817	3250
201	820	3239
202	822	3228
203	827	3229
204	829	3216
205	831	3203
206	833	3192
207	840	3199
208	842	3187
209	844	3175
210	846	3164
211	849	3156
212	857	3170
213	859	3156
214	860	3143
215	862	3130
216	864	3118
217	868	3116
218	869	3101
219	870	3086
220	872	3076
221	874	3065
222	876	3055
223	878	3044
224	883	3042
225	887	3040
226	889	3030
227	891	3019
228	893	3008
229	899	3010
230	900	2998
231	902	2986
232	903	2975
233	905	2964
234	907	2954
235	909	2944
236	917	2953
237	920	2946
238	921	2935
239	923	2925
240	925	2915
241	928	2907
242	930	2898
243	932	2888
244	934	2880
245	936	2871
246	938	2859
247	942	2856
248	946	2854
249	947	2842
250	949	2833
251	951	2823
252	953	2814
253	958	2815
254	961	2808
255	962	2797
256	964	2787
257	966	2778
258	968	2769
259	972	2767
260	977	2766
261	978	2756
262	980	2747
263	982	2738
264	983	2728
265	988	2726
266	989	2716
267	990	2705
268	991	2694
269	992	2683
270	994	2674
271	996	2666
272	998	2657
273	1005	2664
274	1008	2658
275	1010	2651
276	1012	2642
277	1014	2633
278	1020	2637
279	1022	2630
280	1025	2622
281	1026	2614
282	1028	2606
283	1035	2611
284	1038	2605
285	1039	2596
286	1041	2587
287	1042	2577
288	1043	2567
289	1048	2567
290	1049	2557
291	1050	2547
292	1051	2537
293	1052	2527
294	1053	2518
295	1055	2509
296	1057	2502
297	1058	2493
298	1062	2490
299	1067	2491
300	1069	2482
301	1070	2473
302	1071	2464
303	1073	2456
304	1074	2448
305	1081	2451
306	1082	2444
307	1084	2436
308	1085	2427
309	1086	2419
310	1088	2410
311	1089	2401
312	1090	2392
313	1094	2390
314	1095	2382
315	1096	2374
316	1098	2366
317	1099	2357
318	1100	2349
319	1101	2341
320	1107	2342
321	1109	2335
322	1110	2327
323	1111	2319
324	1113	2312
325	1114	2305
326	1116	2298
327	1121	2296
328	1126	2296
329	1127	2288
330	1128	2281
331	1130	2275
332	1132	2269
333	1138	2271
334	1140	2264
335	1142	2258
336	1145	2253
337	1147	2248
338	1157	2256
339	1159	2251
340	1161	2245
341	1163	2238
342	1168	2238
343	1170	2231
344	1171	2224
345	1173	2218
346	1175	2211
347	1177	2205
348	1183	2207
349	1186	2204
350	1188	2197
351	1189	2189
352	1191	2183
353	1196	2183
354	1198	2177
355	1199	2170
356	1201	2164
357	1204	2159
358	1206	2154
359	1211	2154
360	1216	2152
361	1218	2146
362	1219	2140
363	1221	2134
364	1223	2128
365	1225	2122
366	1227	2117
367	1229	2111
368	1231	2105
369	1232	2099
370	1240	2103
371	1243	2098
372	1245	2093
373	1247	2087
374	1249	2081
375	1250	2075
376	1251	2068
377	1253	2062
378	1255	2057
379	1257	2051
380	1259	2046
381	1264	2045
382	1268	2043
383	1270	2037
384	1271	2031
385	1273	2026
386	1275	2020
387	1277	2014
388	1279	2009
389	1281	2004
390	1283	1998
391	1285	1993
392	1287	1987
393	1294	1990
394	1296	1986
395	1298	1980
396	1301	1976
397	1310	1982
398	1314	1980
399	1316	1974
400	1324	1978
401	1326	1973
402	1329	1968
403	1331	1963
404	1336	1963
405	1338	1957
